oem,type,name,description,cost,rate,brand,models
3PK630,皮带,3PK630,A/C BELT 3PK630 TOYOTA 5AFE/4EFE FROTISE,30,150,FROTISE,5AFE
3PK850,皮带,3PK850,A/C BELT 3PK850 VITZ SCP1# FROTISE,30,150,FROTISE,SCP1#
4PK880,皮带,4PK880,A/C BELT 4PK880 MARK II 1GFE FROTISE,40,160,FROTISE,1GFE
87139-12010,空调滤芯,87139-12010,A/C ELEMENT COROLLA VVTI NZE120/ ISIS 1NZFE/1AZFE/1SZFE /SCP1#/NCP50 DRIVEPAL,50,200,DRIVEPAL,"AZT240,J200,NZE120,SCP10,1AZ,1ZZ,1NZ"
80292-S5A-003,空调滤芯,80292-S5A-003,A/C ELEMENT HONDA CRV RD5 DRIVEPAL,90,200,DRIVEPAL,RD5
80292-SDA-A01,空调滤芯,80292-SDA-A01,A/C ELEMENT HONDA CRV RE# DRIVEPAL,60,200,DRIVEPAL,UNIVERSAL
87139-48020,空调滤芯,87139-48020,A/C ELEMENT MARK II GX11# HARRIER MCU1# MCU2# ALTEZZA SXE10 DRIVEPAL,60,200,DRIVEPAL,"GX11#,MCU1#,MCU2#,SXE10"
MR500057,空调滤芯,MR500057,A/C ELEMENT PAJERO V75 V73 V93 V97 DRIVEPAL,100,280,DRIVEPAL,"V75,V97"
87139-28010,空调滤芯,87139-28010,"A/C ELEMENT PRADO AZR60,KZJ120,MCU30,T30,ACA21 ACU30 1AZ 2AZ 1NZ 2NZ UNIVERSAL (215*215*17) DRIVEPAL",65,250,DRIVEPAL,"AZR60,KZJ120,MCU30,T30,ACA21"
87139-30040,空调滤芯,87139-30040,A/C ELEMENT RAV4 ACA3# KUN25 GRX12# KSP9# T30 LAND CRUISER VDJ200 AXIO NZE140 DRIVEPAL UNIVERSAL,120,240,DRIVEPAL,"ACA3#,GRX12#,KSP9#,T30,VDJ200,NZE140"
08975-B2000,空调滤芯,08975-B2000,"A/C ELEMENT TERIOS RUSH NEW 3SZ/SWIFT M13A,M15A DRIVEPAL",60,200,DRIVEPAL,"J200,GD1,GD2"
17201-30160,涡轮增压器,17201-30160,TURBO CHARGER 1KD-FTV WITHOUT SENSOR HILUX KUN15 PRADO KDJ150 FOTUNER KUN60 FROTISE,5460,8000,FROTISE,"1KD-FTV,KDJ120,KDJ150"
44200-48080,方向机,44200-48080,POWER STEERING RACK ASSY HARRIER ACU3# MCU3# RHD FROTISE,5210,8000,FROTISE,"ACU3#,MCU3#"
44200-60351,方向机,44200-60351,POWER STEERING RACK ASSY PRADO KZJ95 RHD FROTISE,3600,5500,FROTISE,KZJ9#
44200-0K010,方向机,44200-0K010,POWER STEERING RACK ASSY HILUX VIGO KUN15 2WD FROTISE,3510,5500,FROTISE,KUN15
27060-31040,发电机,27060-31040,ALTERNATOR ASSY TO Engine(G) 4GRFSE (12V130A) FROTISE,3200,6000,FROTISE,4GRFSE
17801-31100,空气滤芯,17801-31100,AIR ELEMENT 2ARFSE 2GRFSE 2GRFXE (FLEXIBLE) DRIVEPAL,100,280,DRIVEPAL,"GRX13#,2GRFSE,4GRFSE"
45510-42060,方向机,45510-42060,POWER STEERING RACK ASSY RAV4 ACA33 RHD FROTISE,3000,5500,FROTISE,"ACA3#,GSU60"
44200-26470,方向机,44200-26470,POWER STEERING RACK ASSY HIACE KDH200 RHD (SHORT TYPE 116CM) FROTISE,2800,5000,FROTISE,KDH200
17801-B1010,空气滤芯,17801-B1010,"AIR ELEMENT 3SZVE/K3VE/EJ-DE/RUSH, TERIOS J200/J210/BB/ DRIVEPAL",100,350,DRIVEPAL,J20#
U20213350B,转向油泵,U20213350B,POWER STEERING PUMP FORD RANGER T6 (6 MONTH WARRANTY) FROTISE,2550,5100,FROTISE,T6
28100-20020,起动机,28100-20020,STARTER ASSY 2GRFE 1AZ-FE 2AZFE (12V1.6KW)(13TEETH) FROTISE,2510,5020,FROTISE,"2GRFE,1AZ-FE,2AZFE"
44250-36050,方向机,44250-36050,POWER STEERING RACK ASSY HIACE KDH200 RHD (LONG TYPE 130CM) FROTISE,2500,6000,FROTISE,KDH200
